group,user,kc,competency
4fe25833f555e9903d2bb6bbeec3fbfb,bee2a34ccb9b04e94c012b32c0228791,CO.5,0.5186768545136474
4fe25833f555e9903d2bb6bbeec3fbfb,bee2a34ccb9b04e94c012b32c0228791,CO.6,0.5112225843677034
4fe25833f555e9903d2bb6bbeec3fbfb,bee2a34ccb9b04e94c012b32c0228791,MG.1,0.5321201991748258
4fe25833f555e9903d2bb6bbeec3fbfb,bfc0042bbe42e56ce5a8d2d9b8c0f4e4,GMD.4,0.5021622749438166
4fe25833f555e9903d2bb6bbeec3fbfb,bfc0042bbe42e56ce5a8d2d9b8c0f4e4,CO.5,0.4893933864832211
4fe25833f555e9903d2bb6bbeec3fbfb,bfc0042bbe42e56ce5a8d2d9b8c0f4e4,CO.6,0.4810741763582964
4fe25833f555e9903d2bb6bbeec3fbfb,bfc0042bbe42e56ce5a8d2d9b8c0f4e4,MG.1,0.5321201991748258
4fe25833f555e9903d2bb6bbeec3fbfb,d0eb9b379fb70519d83b457b6c85ec4d,GMD.4,0.5383509570352825
4fe25833f555e9903d2bb6bbeec3fbfb,d0eb9b379fb70519d83b457b6c85ec4d,CO.5,0.5318700172792455
4fe25833f555e9903d2bb6bbeec3fbfb,d0eb9b379fb70519d83b457b6c85ec4d,CO.6,0.5248054309615048
4fe25833f555e9903d2bb6bbeec3fbfb,d0eb9b379fb70519d83b457b6c85ec4d,MG.1,0.5321201991748258
4fe25833f555e9903d2bb6bbeec3fbfb,e08bc4c6e82c2fce47308de23960f73c,GMD.4,0.48119339993539306
4fe25833f555e9903d2bb6bbeec3fbfb,e08bc4c6e82c2fce47308de23960f73c,CO.5,0.464781073725061
4fe25833f555e9903d2bb6bbeec3fbfb,e08bc4c6e82c2fce47308de23960f73c,CO.6,0.45573489460665534
4fe25833f555e9903d2bb6bbeec3fbfb,e08bc4c6e82c2fce47308de23960f73c,MG.1,0.5321201991748258
4fe25833f555e9903d2bb6bbeec3fbfb,e3d9bb1dbe4394feac89c0974e04a53f,GMD.4,0.49169560569364235
4fe25833f555e9903d2bb6bbeec3fbfb,e3d9bb1dbe4394feac89c0974e04a53f,CO.5,0.4771080856734247
4fe25833f555e9903d2bb6bbeec3fbfb,e3d9bb1dbe4394feac89c0974e04a53f,CO.6,0.4684260070585672
