user,kc,competency
3ea797888d868011497d6e0e56206f3b,MG.1,0
40d788246ddbc125d1488077d7711321,GMD.4,-0.190231175692017
40d788246ddbc125d1488077d7711321,CO.5,-0.190231175692017
40d788246ddbc125d1488077d7711321,CO.6,-0.190231175692017
40d788246ddbc125d1488077d7711321,MG.1,0
4e46303a1a86e794ec6f495f04a1d95b,GMD.4,-0.09999999999999999
4e46303a1a86e794ec6f495f04a1d95b,CO.5,-0.09999999999999999
4e46303a1a86e794ec6f495f04a1d95b,CO.6,-0.09999999999999999
4e46303a1a86e794ec6f495f04a1d95b,MG.1,0
516f1d9200914db303f76bbefbeff1ad,GMD.4,0.21334327214054136
516f1d9200914db303f76bbefbeff1ad,CO.5,0.21334327214054136
516f1d9200914db303f76bbefbeff1ad,CO.6,0.21334327214054136
516f1d9200914db303f76bbefbeff1ad,MG.1,0
5d9c68c6c50ed3d02a2fcf54f63993b6,GMD.4,-0.5401676043164794
5d9c68c6c50ed3d02a2fcf54f63993b6,CO.5,-0.4214985739322265
5d9c68c6c50ed3d02a2fcf54f63993b6,CO.6,-0.4214985739322265
5d9c68c6c50ed3d02a2fcf54f63993b6,MG.1,-0.11166579534590547
66e12afc561f043a0ff56910f2b166d0,GMD.4,0.2747103542626288
66e12afc561f043a0ff56910f2b166d0,CO.5,0.2747103542626288
66e12afc561f043a0ff56910f2b166d0,CO.6,0.2747103542626288
66e12afc561f043a0ff56910f2b166d0,MG.1,-0.1589319092985966
6b0db803ea472a64d60982fc9820ec6d,GMD.4,-0.17670297275930946
6b0db803ea472a64d60982fc9820ec6d,CO.5,-0.17670297275930946
6b0db803ea472a64d60982fc9820ec6d,CO.6,-0.17670297275930946
6b0db803ea472a64d60982fc9820ec6d,MG.1,0
6f92f9126b33790d7fef01f949d8334b,GMD.4,-0.08750722090897133
6f92f9126b33790d7fef01f949d8334b,CO.5,-0.08750722090897133
6f92f9126b33790d7fef01f949d8334b,CO.6,-0.08750722090897133
6f92f9126b33790d7fef01f949d8334b,MG.1,0
781ddfc1403d3625fe99f9cb5986f096,GMD.4,-0.14745797173969863
781ddfc1403d3625fe99f9cb5986f096,CO.5,-0.14745797173969863
781ddfc1403d3625fe99f9cb5986f096,CO.6,-0.14745797173969863
781ddfc1403d3625fe99f9cb5986f096,MG.1,0
85e2dbc0501c15f84b17a1fd7364467d,GMD.4,-0.27921426646078673
85e2dbc0501c15f84b17a1fd7364467d,CO.5,-0.27921426646078673
85e2dbc0501c15f84b17a1fd7364467d,CO.6,-0.27921426646078673
85e2dbc0501c15f84b17a1fd7364467d,MG.1,0
96ddabca419f7153f2c0ed0cba63a9e4,GMD.4,-0.1674439960546812
96ddabca419f7153f2c0ed0cba63a9e4,CO.5,-0.1674439960546812
96ddabca419f7153f2c0ed0cba63a9e4,CO.6,-0.1674439960546812
96ddabca419f7153f2c0ed0cba63a9e4,MG.1,0
9ebecebccf7f8b60313c913a80f70f47,GMD.4,0.25377092093563025
9ebecebccf7f8b60313c913a80f70f47,CO.5,0.25377092093563025
9ebecebccf7f8b60313c913a80f70f47,CO.6,0.25377092093563025
9ebecebccf7f8b60313c913a80f70f47,MG.1,0
9f5b213ac14a39e0506ff211a2ff2ffc,GMD.4,0.2159882240371376
9f5b213ac14a39e0506ff211a2ff2ffc,CO.5,0.2159882240371376
9f5b213ac14a39e0506ff211a2ff2ffc,CO.6,0.2159882240371376
9f5b213ac14a39e0506ff211a2ff2ffc,MG.1,0
a48c50f9ef3ef60c304e7e4ca5d775cb,GMD.4,0.0694397383137168
a48c50f9ef3ef60c304e7e4ca5d775cb,CO.5,0.0694397383137168
a48c50f9ef3ef60c304e7e4ca5d775cb,CO.6,0.0694397383137168
a48c50f9ef3ef60c304e7e4ca5d775cb,MG.1,0
a7d70a79fa9f7d3dec47bac5541e53be,GMD.4,-0.653131969161792
a7d70a79fa9f7d3dec47bac5541e53be,CO.5,-0.653131969161792
a7d70a79fa9f7d3dec47bac5541e53be,CO.6,-0.653131969161792
a7d70a79fa9f7d3dec47bac5541e53be,MG.1,0
a89dc0a90ec4abfdc92e621e3ca80748,GMD.4,-0.04902618571812772
a89dc0a90ec4abfdc92e621e3ca80748,CO.5,-0.07215914055175027
a89dc0a90ec4abfdc92e621e3ca80748,CO.6,-0.04902618571812772
a89dc0a90ec4abfdc92e621e3ca80748,MG.1,-0.08906060427088758
afa648f0959b8ff1a10ddb9c643aa172,GMD.4,0.2536233377151239
afa648f0959b8ff1a10ddb9c643aa172,CO.5,0.14351473598777434
afa648f0959b8ff1a10ddb9c643aa172,CO.6,0.2536233377151239
afa648f0959b8ff1a10ddb9c643aa172,MG.1,0.06907829511889071
b2531b7f78817a6d4acda4a109b7a431,GMD.4,0.291547408514241
b2531b7f78817a6d4acda4a109b7a431,CO.5,0.291547408514241
b2531b7f78817a6d4acda4a109b7a431,CO.6,0.291547408514241
b2531b7f78817a6d4acda4a109b7a431,MG.1,-0.04369585847279895
bee2a34ccb9b04e94c012b32c0228791,GMD.4,0.0164946130012749
bee2a34ccb9b04e94c012b32c0228791,CO.5,0.0164946130012749
bee2a34ccb9b04e94c012b32c0228791,CO.6,0.0164946130012749
bee2a34ccb9b04e94c012b32c0228791,MG.1,0
bfc0042bbe42e56ce5a8d2d9b8c0f4e4,GMD.4,-0.028951166341661
bfc0042bbe42e56ce5a8d2d9b8c0f4e4,CO.5,-0.028951166341661
bfc0042bbe42e56ce5a8d2d9b8c0f4e4,CO.6,-0.028951166341661
